City,Restaurant_Count,Avg_Rating,Avg_Cost_For_Two,Avg_Price_Range
New Delhi,5240,2.50206106870229,603.9484732824427,1.632442748091603
Gurgaon,1070,2.72196261682243,729.2056074766355,1.8813084112149532
Noida,986,2.165111561866126,551.5212981744422,1.627789046653144
Faridabad,229,1.991703056768559,451.31004366812226,1.4759825327510918
Ghaziabad,25,2.852,602.0,1.8
Ahmedabad,21,4.161904761904762,857.1428571428571,2.5714285714285716
Augusta,20,4.13,27.0,2.15
Cedar Rapids/Iowa City,20,4.165,25.75,2.05
Chennai,20,4.3149999999999995,1085.0,2.45
Abu Dhabi,20,4.3,182.0,3.3
Albany,20,3.5549999999999997,19.75,1.7
Athens,20,4.2,19.0,1.6
Ankara,20,4.305,87.25,2.8
Rest of Hawaii,20,4.41,31.75,2.35
Rio de Janeiro,20,4.265,126.75,3.5
Savannah,20,4.154999999999999,32.5,2.35
S��o Paulo,20,3.53,157.25,3.6
Surat,20,3.935,812.5,2.65
Sioux City,20,3.7649999999999997,24.25,1.9
Singapore,20,3.575,155.75,3.65
Bangalore,20,4.375,1232.5,2.7
Dalton,20,4.11,16.0,1.4
Doha,20,4.0600000000000005,223.75,3.65
Dubuque,20,3.535,23.75,1.9
Des Moines,20,4.235,28.0,2.15
Columbus,20,4.029999999999999,26.75,2.15
Davenport,20,3.715,25.25,2.0
Boise,20,4.26,27.25,2.05
Birmingham,20,3.6799999999999997,39.0,2.4
Dubai,20,4.37,211.75,3.05
Kolkata,20,4.255,1272.5,2.85
London,20,4.535,64.5,3.0
Jaipur,20,4.13,1310.0,2.85
Indore,20,3.97,960.0,2.75
Gainesville,20,4.035,21.25,1.75
Manchester,20,4.045,49.25,2.7
Macon,20,4.115,27.25,2.05
Kochi,20,4.08,730.0,2.05
Edinburgh,20,4.09,38.5,2.9
Coimbatore,20,4.135,782.5,2.4
Pocatello,20,3.4850000000000003,20.75,1.8
Orlando,20,4.475,40.25,2.9
Mumbai,20,4.085,1072.5,2.75
Cape Town,20,4.11,297.2,3.2
Bras�_lia,20,3.495,120.0,3.1
Pensacola,20,4.2,30.25,2.35
Pune,20,4.220000000000001,1337.5,2.95
Pretoria,20,4.1899999999999995,492.25,3.7
Valdosta,20,3.715,29.25,2.25
Tampa Bay,20,4.41,34.75,2.55
Wellington City,20,4.25,71.25,3.25
Waterloo,20,3.65,21.25,1.75
Puducherry,20,3.7299999999999995,842.5,3.0
Sharjah,20,4.029999999999999,105.5,3.3
Mysore,19,3.71578947368421,778.421052631579,2.3684210526315788
Colombo,19,3.8526315789473684,2342.1052631578946,2.8421052631578947
Nagpur,19,3.9684210526315793,739.4736842105264,2.3684210526315788
Auckland,19,4.2894736842105265,69.21052631578948,3.0526315789473686
Ludhiana,18,4.011111111111111,1133.3333333333333,2.611111111111111
Chandigarh,18,4.050000000000001,1072.2222222222222,2.5
Kanpur,18,3.827777777777778,955.5555555555555,2.7777777777777777
Hyderabad,18,4.344444444444445,1361.111111111111,2.888888888888889
Lucknow,17,4.223529411764706,876.4705882352941,2.6470588235294117
Patna,17,3.447058823529412,738.2352941176471,2.3529411764705883
Bhubaneshwar,17,3.929411764705882,661.7647058823529,1.7647058823529411
Goa,17,4.2176470588235295,1152.9411764705883,3.6470588235294117
Amritsar,17,3.635294117647059,544.1176470588235,1.9411764705882353
Aurangabad,16,3.3874999999999997,650.0,2.25
Ranchi,16,3.475,759.375,2.0625
Jakarta,15,4.42,322333.3333333333,3.0
Guwahati,15,4.166666666666667,723.3333333333334,2.4
Vizag,15,4.013333333333334,776.6666666666666,2.2666666666666666
Allahabad,15,3.4066666666666667,483.3333333333333,2.6
��stanbul,14,4.292857142857143,81.42857142857143,2.857142857142857
Nashik,14,3.5714285714285716,685.7142857142857,2.857142857142857
Agra,14,4.021428571428571,1092.857142857143,2.5714285714285716
Bhopal,14,4.021428571428571,592.8571428571429,2.0714285714285716
Varanasi,13,3.4769230769230766,515.3846153846154,2.4615384615384617
Dehradun,13,4.107692307692307,823.0769230769231,3.230769230769231
Mangalore,11,3.6818181818181817,763.6363636363636,2.4545454545454546
Sandton,11,4.3,375.90909090909093,3.8181818181818183
Vadodara,10,4.08,850.0,2.7
Johannesburg,6,4.2,470.0,4.0
Mandaluyong City,4,4.625,2000.0,3.75
Taguig City,4,4.525,1725.0,3.5
Pasay City,3,4.366666666666667,3333.3333333333335,4.0
Pasig City,3,4.633333333333334,933.3333333333334,3.0
Bogor,2,3.85,160000.0,2.5
Inner City,2,4.9,1120.0,4.0
Secunderabad,2,4.5,825.0,2.0
Tangerang,2,4.300000000000001,250000.0,3.0
Santa Rosa,2,3.8,825.0,3.0
San Juan City,2,4.25,850.0,3.0
Hepburn Springs,2,3.8,13.5,1.5
Makati City,2,4.65,1150.0,3.0
Balingup,1,3.2,20.0,2.0
Armidale,1,3.5,20.0,2.0
Cochrane,1,3.1,25.0,2.0
Beechworth,1,4.6,20.0,2.0
Huskisson,1,4.1,20.0,2.0
Inverloch,1,3.7,7.0,1.0
Forrest,1,3.7,20.0,2.0
Clatskanie,1,4.3,10.0,1.0
Chatham-Kent,1,3.7,25.0,2.0
Bandung,1,4.2,150000.0,3.0
Consort,1,3.0,25.0,2.0
Dicky Beach,1,3.6,7.0,1.0
East Ballina,1,4.1,20.0,2.0
Fernley,1,3.7,10.0,1.0
Macedon,1,3.5,20.0,2.0
Lakeview,1,3.6,10.0,1.0
Lincoln,1,4.5,25.0,2.0
Lorn,1,3.6,20.0,2.0
Lakes Entrance,1,3.8,7.0,1.0
Flaxton,1,3.5,30.0,3.0
Penola,1,3.4,20.0,2.0
Mayfield,1,2.9,20.0,2.0
Montville,1,2.4,30.0,3.0
Monroe,1,3.6,25.0,2.0
Mohali,1,4.3,550.0,2.0
Miller,1,3.4,0.0,1.0
Mc Millan,1,2.4,10.0,1.0
Middleton Beach,1,3.8,30.0,3.0
Ojo Caliente,1,3.6,40.0,3.0
Palm Cove,1,4.4,30.0,3.0
Quezon City,1,4.8,800.0,3.0
Princeton,1,4.0,70.0,4.0
Potrero,1,3.3,25.0,2.0
Phillip Island,1,3.7,20.0,2.0
Panchkula,1,4.2,2000.0,4.0
Paynesville,1,2.6,120.0,4.0
Tagaytay City,1,4.5,1200.0,3.0
Randburg,1,4.3,200.0,3.0
Victor Harbor,1,3.6,20.0,2.0
Vernonia,1,4.3,10.0,1.0
Tanunda,1,4.4,30.0,3.0
Trentham East,1,4.1,20.0,2.0
Weirton,1,3.9,25.0,2.0
Vineland Station,1,4.3,70.0,4.0
Winchester Bay,1,3.2,25.0,2.0
Yorkton,1,3.3,25.0,2.0
